region,area,sektor,target_count
Yogyakarta,SME Banking Floor Purwokerto,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Yogyakarta,SME Banking Floor Purwokerto,Lainnya,1
Yogyakarta,SME Banking Floor Solo,Pertanian dan Perkebunan,1
Yogyakarta,SME Banking Floor Solo,Industri Pengolahan,2
Yogyakarta,SME Banking Floor Solo,Konstruksi,1
Yogyakarta,SME Banking Floor Solo,Perdagangan,2
Yogyakarta,SME Banking Floor Solo,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Yogyakarta,SME Banking Floor Solo,Lainnya,2
Yogyakarta,SME Banking Center Yogyakarta,Pertanian dan Perkebunan,1
Yogyakarta,SME Banking Center Yogyakarta,Industri Pengolahan,3
Yogyakarta,SME Banking Center Yogyakarta,Konstruksi,4
Yogyakarta,SME Banking Center Yogyakarta,Perdagangan,3
Yogyakarta,SME Banking Center Yogyakarta,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Yogyakarta,SME Banking Center Yogyakarta,Lainnya,4
Surabaya Niaga,SME Banking Floor Gresik,Pertanian dan Perkebunan,9
Surabaya Niaga,SME Banking Floor Gresik,Industri Pengolahan,2
Surabaya Niaga,SME Banking Floor Gresik,Konstruksi,2
Surabaya Niaga,SME Banking Floor Gresik,Perdagangan,6
Surabaya Niaga,SME Banking Floor Gresik,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Surabaya Niaga,SME Banking Floor Gresik,Lainnya,1
Surabaya Niaga,SME Banking Floor Kediri,Pertanian dan Perkebunan,8
Surabaya Niaga,SME Banking Floor Kediri,Industri Pengolahan,5
Surabaya Niaga,SME Banking Floor Kediri,Perdagangan,6
Surabaya Niaga,SME Banking Floor Kediri,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Surabaya Niaga,SME Banking Floor Kediri,Lainnya,1
Surabaya Niaga,SME Banking Center Surabaya Niaga,Industri Pengolahan,9
Surabaya Niaga,SME Banking Center Surabaya Niaga,Konstruksi,4
